Date,Price_Close,Price_Open,Price_High,Price_Low,Var
"10/11/2021","1849,57","1831,90","1868,70","1821,60","0,99%"
"09/11/2021","1831,48","1824,74","1833,08","1817,70","0,40%"
"08/11/2021","1824,26","1818,44","1826,93","1812,08","0,41%"
"05/11/2021","1816,73","1792,14","1818,61","1785,17","1,40%"
"04/11/2021","1791,70","1769,98","1799,26","1769,13","1,25%"
"03/11/2021","1769,54","1787,71","1788,42","1758,45","-0,99%"
"02/11/2021","1787,28","1793,61","1796,91","1785,78","-0,32%"
"01/11/2021","1793,05","1783,24","1796,20","1778,89","0,57%"
"29/10/2021","1782,81","1799,03","1801,49","1771,70","-0,88%"
"28/10/2021","1798,62","1796,78","1810,49","1792,34","0,11%"
"27/10/2021","1796,69","1793,04","1799,38","1782,83","0,23%"
"26/10/2021","1792,63","1807,90","1808,50","1781,98","-0,83%"
"25/10/2021","1807,71","1794,00","1810,18","1791,95","0,85%"
"22/10/2021","1792,48","1782,89","1814,22","1782,46","0,55%"
"21/10/2021","1782,76","1782,10","1789,61","1776,07","0,05%"
"20/10/2021","1781,83","1769,28","1788,68","1766,50","0,73%"
"19/10/2021","1768,88","1764,99","1785,53","1762,48","0,24%"
"18/10/2021","1764,58","1767,74","1772,30","1759,68","-0,15%"
"15/10/2021","1767,26","1795,81","1796,89","1764,48","-1,58%"
"14/10/2021","1795,56","1792,75","1800,91","1786,22","0,16%"
"13/10/2021","1792,65","1760,05","1796,31","1757,89","1,86%"
"12/10/2021","1759,93","1754,12","1769,78","1750,47","0,35%"
"11/10/2021","1753,86","1757,34","1761,36","1749,68","-0,16%"
"08/10/2021","1756,67","1755,89","1781,60","1753,03","0,08%"
"07/10/2021","1755,29","1762,74","1767,45","1751,38","-0,41%"
"06/10/2021","1762,48","1760,45","1765,78","1745,45","0,14%"
"05/10/2021","1759,96","1769,75","1771,03","1748,56","-0,54%"
"04/10/2021","1769,51","1762,15","1771,06","1747,23","0,52%"
"01/10/2021","1760,36","1756,91","1764,40","1749,36","0,21%"
"30/09/2021","1756,66","1726,40","1764,53","1721,67","1,74%"
"29/09/2021","1726,53","1733,97","1746,11","1721,07","-0,41%"
"28/09/2021","1733,68","1750,45","1754,80","1727,18","-0,92%"
"27/09/2021","1749,85","1751,24","1761,29","1744,19","-0,00%"
"24/09/2021","1749,86","1742,82","1758,08","1739,60","0,42%"
"23/09/2021","1742,57","1768,40","1776,60","1737,84","-1,43%"
"22/09/2021","1767,91","1774,51","1787,51","1764,84","-0,36%"
"21/09/2021","1774,25","1764,19","1782,07","1757,61","0,59%"
"20/09/2021","1763,88","1754,30","1767,31","1742,24","0,55%"
"17/09/2021","1754,16","1753,67","1768,22","1747,07","0,04%"
"16/09/2021","1753,39","1794,34","1796,71","1745,04","-2,19%"
"15/09/2021","1792,59","1804,53","1807,30","1790,28","-0,65%"
"14/09/2021","1804,27","1793,77","1808,99","1781,89","0,60%"
"13/09/2021","1793,49","1788,55","1798,66","1783,73","0,34%"
"10/09/2021","1787,34","1794,61","1804,15","1786,53","-0,41%"
"09/09/2021","1794,69","1789,19","1801,19","1783,83","0,32%"
"08/09/2021","1788,93","1794,41","1802,60","1781,98","-0,29%"
"07/09/2021","1794,13","1823,27","1827,39","1792,33","-1,59%"
"06/09/2021","1823,10","1828,66","1830,60","1820,58","-0,17%"
"03/09/2021","1826,19","1809,98","1834,55","1808,53","0,93%"
"02/09/2021","1809,40","1813,92","1817,53","1804,48","-0,23%"
"01/09/2021","1813,66","1813,57","1820,21","1808,18","0,01%"
"31/08/2021","1813,43","1810,26","1819,43","1801,47","0,19%"
"30/08/2021","1810,02","1817,55","1823,38","1807,28","-0,37%"
"27/08/2021","1816,67","1792,60","1819,38","1787,66","1,37%"
"26/08/2021","1792,18","1791,09","1798,61","1779,48","0,08%"
"25/08/2021","1790,68","1802,86","1803,57","1782,45","-0,66%"
"24/08/2021","1802,61","1805,61","1810,03","1799,73","-0,14%"
"23/08/2021","1805,20","1780,55","1806,92","1776,03","1,37%"
"20/08/2021","1780,87","1780,44","1788,85","1777,96","0,09%"
"19/08/2021","1779,25","1788,05","1792,56","1774,20","-0,47%"
"18/08/2021","1787,59","1786,21","1794,31","1777,31","0,09%"
"17/08/2021","1785,96","1787,51","1795,77","1780,28","-0,03%"
"16/08/2021","1786,57","1778,44","1789,51","1770,38","0,42%"
"13/08/2021","1779,15","1752,72","1780,53","1751,27","1,51%"
"12/08/2021","1752,75","1751,66","1758,62","1741,29","0,07%"
"11/08/2021","1751,56","1729,01","1754,63","1723,54","1,32%"
"10/08/2021","1728,71","1729,74","1738,49","1717,17","-0,04%"
"09/08/2021","1729,46","1763,34","1764,65","1684,77","-1,89%"
"06/08/2021","1762,69","1804,28","1804,93","1758,33","-2,29%"
"05/08/2021","1804,07","1811,69","1815,45","1797,74","-0,40%"
"04/08/2021","1811,33","1810,60","1832,10","1806,54","0,08%"
"03/08/2021","1809,94","1813,64","1815,18","1806,73","-0,16%"
"02/08/2021","1812,84","1814,34","1819,94","1805,12","-0,04%"
"30/07/2021","1813,58","1828,21","1831,63","1809,48","-0,79%"
"29/07/2021","1827,95","1807,15","1833,05","1806,29","1,19%"
"28/07/2021","1806,52","1799,00","1809,90","1792,60","0,43%"
"27/07/2021","1798,82","1797,53","1805,60","1792,83","0,09%"
"26/07/2021","1797,27","1802,65","1811,97","1795,68","-0,23%"
"23/07/2021","1801,34","1806,95","1810,56","1790,45","-0,29%"
"22/07/2021","1806,56","1803,58","1808,34","1792,11","0,18%"
"21/07/2021","1803,31","1810,32","1814,02","1794,18","-0,37%"
"20/07/2021","1810,03","1812,61","1825,27","1805,06","-0,13%"
"19/07/2021","1812,34","1811,65","1817,56","1794,66","0,08%"
"16/07/2021","1810,89","1829,45","1832,20","1808,65","-1,00%"
"15/07/2021","1829,19","1827,35","1833,99","1820,07","0,12%"
"14/07/2021","1827,06","1807,72","1830,32","1804,21","1,07%"
"13/07/2021","1807,69","1806,17","1817,51","1798,54","0,09%"
"12/07/2021","1806,07","1807,94","1811,04","1791,21","-0,11%"
"09/07/2021","1807,98","1802,89","1812,71","1796,09","0,30%"
"08/07/2021","1802,56","1803,67","1818,70","1794,28","-0,05%"
"07/07/2021","1803,41","1796,96","1810,13","1793,64","0,37%"
"06/07/2021","1796,69","1791,88","1815,34","1789,91","0,28%"
"05/07/2021","1791,61","1787,69","1795,69","1784,09","0,27%"
"02/07/2021","1786,79","1776,83","1795,40","1773,73","0,57%"
"01/07/2021","1776,62","1770,06","1783,07","1765,47","0,38%"
"30/06/2021","1769,80","1761,35","1774,72","1752,78","0,49%"
"29/06/2021","1761,09","1778,44","1779,24","1750,11","-0,96%"
"28/06/2021","1778,18","1781,24","1785,90","1770,69","-0,12%"
"25/06/2021","1780,34","1775,46","1790,60","1773,27","0,29%"
"24/06/2021","1775,18","1779,01","1788,56","1772,67","-0,20%"
"23/06/2021","1778,73","1778,80","1795,18","1773,13","0,01%"
"22/06/2021","1778,52","1783,23","1790,42","1771,99","-0,25%"
"21/06/2021","1782,95","1764,44","1786,75","1764,44","1,11%"
"18/06/2021","1763,34","1772,73","1797,24","1761,04","-0,56%"
"17/06/2021","1773,31","1812,18","1825,58","1766,88","-2,13%"
"16/06/2021","1811,95","1858,96","1862,43","1804,19","-2,51%"
"15/06/2021","1858,69","1866,26","1869,67","1851,28","-0,39%"
"14/06/2021","1865,99","1874,59","1878,21","1844,57","-0,57%"
"11/06/2021","1876,64","1898,42","1903,30","1874,07","-1,10%"
"10/06/2021","1897,51","1888,57","1900,09","1869,84","0,46%"
"09/06/2021","1888,77","1893,49","1899,40","1886,58","-0,21%"
"08/06/2021","1892,82","1898,99","1903,95","1883,38","-0,33%"
"07/06/2021","1899,00","1888,49","1900,41","1880,88","0,48%"
"04/06/2021","1889,97","1871,32","1896,60","1856,09","1,04%"
"03/06/2021","1870,57","1908,09","1909,89","1865,11","-1,96%"
"02/06/2021","1907,94","1900,05","1909,34","1894,05","0,41%"
"01/06/2021","1900,19","1907,53","1916,84","1892,28","-0,32%"
"31/05/2021","1906,36","1903,69","1911,13","1901,56","0,20%"
"28/05/2021","1902,64","1897,05","1905,90","1881,84","0,35%"
"27/05/2021","1896,08","1896,49","1903,87","1888,22","-0,02%"
"26/05/2021","1896,44","1899,49","1913,15","1890,34","-0,15%"
"25/05/2021","1899,26","1880,69","1900,63","1872,73","0,97%"
"24/05/2021","1881,07","1882,34","1887,44","1875,19","0,04%"
"21/05/2021","1880,30","1876,84","1889,85","1870,01","0,19%"
"20/05/2021","1876,69","1869,74","1884,12","1863,53","0,38%"
"19/05/2021","1869,57","1869,59","1890,15","1851,94","0,07%"
"18/05/2021","1868,22","1866,59","1875,40","1862,94","0,11%"
"17/05/2021","1866,13","1843,84","1868,80","1841,24","1,30%"
"14/05/2021","1842,19","1826,49","1845,55","1819,79","0,86%"
"13/05/2021","1826,57","1815,90","1828,81","1808,78","0,61%"
"12/05/2021","1815,44","1837,40","1843,69","1813,00","-1,17%"
"11/05/2021","1836,94","1834,58","1842,32","1817,68","0,08%"
"10/05/2021","1835,44","1833,24","1845,53","1830,09","0,27%"
"07/05/2021","1830,48","1815,48","1843,45","1812,90","0,84%"
"06/05/2021","1815,18","1787,09","1818,21","1781,67","1,61%"
