Date,Date,Price_Close,Price_Open,Price_High,Price_Low,Var
2020-12-08,2020-12-08,1871.36,1863.55,1875.79,1859.83,0.0040999999999999995
2020-12-09,2020-12-09,1839.11,1871.19,1871.37,1825.71,-0.0172
2020-12-10,2020-12-10,1835.31,1839.59,1850.4,1828.48,-0.0021
2020-12-11,2020-12-11,1839.03,1835.55,1847.89,1824.23,0.002
2020-12-14,2020-12-14,1827.17,1839.3,1839.86,1819.92,-0.0064
2020-12-15,2020-12-15,1853.46,1827.8,1855.76,1825.29,0.0144
2020-12-16,2020-12-16,1864.15,1853.94,1866.2,1844.75,0.0058
2020-12-17,2020-12-17,1885.87,1864.26,1896.26,1861.83,0.011699999999999999
2020-12-18,2020-12-18,1880.66,1885.8,1889.88,1876.97,-0.0028000000000000004
2020-12-21,2020-12-21,1876.21,1883.2,1906.93,1856.69,-0.0024
2020-12-22,2020-12-22,1859.56,1876.65,1884.61,1858.73,-0.0089
2020-12-23,2020-12-23,1872.08,1859.99,1878.59,1858.59,0.0067
2020-12-24,2020-12-24,1876.56,1872.74,1882.55,1869.52,0.0024
2020-12-25,2020-12-25,1875.82,1877.07,1877.07,1877.07,-0.0004
2020-12-28,2020-12-28,1871.19,1885.93,1900.53,1869.21,-0.0025
2020-12-29,2020-12-29,1877.99,1872.24,1886.91,1870.99,0.0036
2020-12-30,2020-12-30,1893.37,1878.34,1894.06,1875.66,0.008199999999999999
2020-12-31,2020-12-31,1896.49,1893.55,1901.26,1884.77,0.0016
2021-01-01,2021-01-01,1898.1,1897.69,1899.12,1897.39,0.0009
2021-01-04,2021-01-04,1942.28,1906.05,1944.65,1905.36,0.0233
2021-01-05,2021-01-05,1949.35,1942.65,1953.17,1934.08,0.0036
2021-01-06,2021-01-06,1918.81,1950.3,1959.6,1901.11,-0.015700000000000002
2021-01-07,2021-01-07,1912.5,1919.4,1927.97,1906.86,-0.0033
2021-01-08,2021-01-08,1848.26,1912.9,1917.85,1828.74,-0.0336
2021-01-11,2021-01-11,1844.66,1849.34,1857.05,1817.14,-0.0019
2021-01-12,2021-01-12,1855.63,1845.34,1864.08,1837.41,0.0059
2021-01-13,2021-01-13,1843.41,1856.19,1863.26,1843.34,-0.0066
2021-01-14,2021-01-14,1846.37,1843.94,1857.59,1833.21,0.0016
2021-01-15,2021-01-15,1826.59,1846.8,1856.85,1823.21,-0.010700000000000001
2021-01-18,2021-01-18,1836.89,1828.94,1840.95,1810.46,0.005600000000000001
2021-01-19,2021-01-19,1839.34,1838.09,1845.98,1833.06,0.0013
2021-01-20,2021-01-20,1870.91,1840.05,1872.03,1832.46,0.0172
2021-01-21,2021-01-21,1869.91,1871.07,1875.45,1858.16,-0.0005
2021-01-22,2021-01-22,1852.55,1870.09,1871.17,1837.09,-0.009300000000000001
2021-01-25,2021-01-25,1854.99,1855.75,1868.45,1847.3,0.0013
2021-01-26,2021-01-26,1850.31,1855.55,1861.86,1848.36,-0.0025
2021-01-27,2021-01-27,1843.99,1850.65,1853.58,1831.29,-0.0034000000000000002
2021-01-28,2021-01-28,1840.36,1844.34,1864.26,1833.81,-0.002
2021-01-29,2021-01-29,1846.09,1840.9,1876.03,1839.56,0.0031
2021-02-01,2021-02-01,1860.16,1863.05,1871.84,1849.04,0.0076
