Date,Price_Close,Price_High,Price_Low,Price_Open,Circulating_Marketcap,Marketcap_Dominance,Volatility,Circulating_Supply
2021-10-04,49245.049341553145,49527.672562035004,46924.11323893248,48212.060639851,908379024041.6405,43.33942921283976,0.798470287225363,18841323.353244
2021-10-03,48228.374332415784,49260.428038652855,47115.83100860074,48101.933191707765,906257176366.1732,43.492032733680716,0.7983160037047133,18840348.32351399
2021-10-02,47660.801395880844,48357.23842701883,47453.790408410954,48145.56384925969,907034055654.6046,44.10533740690785,0.7988230328545296,18839410.80209307
2021-10-01,48167.68563488634,48500.322044539,43291.53242214528,43788.11104035416,824890759728.3622,43.787023980438526,0.7838098235766535,18838235.77062187
2021-09-30,43825.75735773819,44127.20196018447,41411.75027197845,41560.89723050923,782897611048.2972,43.45401761884297,0.7224358417558121,18837360.67357044
2021-09-29,41524.60631143541,42599.26805653504,40762.679727238814,41646.97960103797,784474664317.7946,43.88419103653789,0.7149502655659147,18836291.89518087
2021-09-28,41039.934214287874,43149.957070144636,40894.51194147456,43063.458566007204,811120885231.585,43.80107717219455,0.7022911232674076,18835479.36560431
2021-09-27,42169.21466737234,44373.987528005484,42110.815968891504,43171.270638226255,813110563039.2368,43.37761889858119,0.6961870973263179,18834529.32977292
2021-09-26,43189.15920010166,43963.78094301022,40779.01624089452,42687.59351558346,803959376873.3906,43.36226476354237,0.715563706930586,18833560.54212563
2021-09-25,42703.66528136097,43002.78052670068,41680.4797314521,42846.536754091256,806915886111.3164,43.23084137506809,0.7276106257182714,18832697.97842569
2021-09-24,42847.89800231547,45195.25659758881,40705.05287467124,44887.896373594755,845319795529.6283,42.99704757047674,0.7736107243498966,18831797.96384681
2021-09-23,44896.434687317844,45011.08832329578,43090.36726828229,43567.97224967588,820422949350.0641,42.87349468272094,0.7201529220665623,18830872.93226431
2021-09-22,43573.11521182879,44046.605108533804,40446.10057781977,40721.528814727935,766779938864.0013,43.87001252610607,0.687575552406333,18829841.63862425
2021-09-21,40713.372437437945,43638.73019275805,39588.064279306665,42842.03676720981,806672886180.7128,43.746184467590744,0.6585071839979874,18829004.10556856
2021-09-20,43005.41397261596,47354.87412574445,42491.886048151784,47246.92423742848,889576207958.3322,43.3688471524237,0.6437829677395841,18828235.32571079
2021-09-19,47250.21110037927,48382.07868597171,46841.9407039535,47975.572892413635,903246198144.6581,43.129902522228846,0.616016684873729,18827210.25906682
2021-09-18,48302.461196218086,48827.42074453049,47042.04732604936,47282.77494651382,890155462050.5521,42.410206190437435,0.6309868238594804,18826210.24374086
2021-09-17,47300.90215676043,48171.71018327484,46752.47169816803,47772.7600663211,899333744079.7236,41.55673964678517,0.6261926378404081,18825241.47299032
2021-09-16,47757.27115947085,48531.31361855378,47039.139531897046,48172.47628357706,906814236888.2235,41.34096983618454,0.6342281834782985,18824322.65989561
2021-09-15,48148.33116063502,48493.168732234255,46747.6244240991,47098.42097542261,886555837814.2657,41.68104821648015,0.6357396338161967,18823472.62293353
2021-09-14,47130.67957423161,47271.85632334908,44658.75983153234,44948.11188025382,846039660487.9895,41.23596862106057,0.6262800969573666,18822585.08971238
2021-09-13,44956.04181226871,46897.16586812692,43392.91186201581,46043.93422930513,866617520401.8715,40.87984993350722,0.6175343014812531,18821535.01666467
2021-09-12,46036.387569405204,46473.238693422674,44751.01217582431,45193.97060775189,850574987016.8685,41.198478812439006,0.6686344837807808,18820541.22659835
2021-09-11,45175.24475579598,46002.19915916021,44732.88939150577,44850.64914399945,844072284079.5713,41.50172833934428,0.6770595745834694,18819622.46230943
