"Date,""Price (Close)"",""Price (High)"",""Price (Low)"",""Price (Open)"",""Real Volume"",""Circulating Marketcap"",""Realized Marketcap"",""Marketcap Dominance"""
"2021-11-29,""57835.29033338085"",""58914.17286476829"",""56730.79617457879"",""57263.99791817778"",""5250524664.867895"",""1081473892267.2135"",""463636790399.1703"",""41.133066482787825"""
"2021-11-28,""57324.80152701594"",""57487.24731647733"",""53288.54388580475"",""54788.86498075211"",""4393758909.758912"",""1034681195286.5708"",""462691666746.82117"",""41.17020575736566"""
"2021-11-27,""54773.00678642563"",""55324.86790045494"",""53650.08774955568"",""53658.72093240309"",""3729475936.1741123"",""1013292949507.8489"",""462119259747.9326"",""41.10530364483"""
"2021-11-26,""53771.63946029656"",""59196.239376455975"",""53530.0064434676"",""58963.57361205919"",""9999693553.45335"",""1113419479141.8958"",""462131037742.404"",""41.14012713669757"""
"2021-11-25,""58993.3076256517"",""59439.4958674445"",""57038.318291081414"",""57183.52891933151"",""5768042648.730237"",""1079759407289.9393"",""463326589694.16095"",""41.435484702431765"""
"2021-11-24,""57167.940399318286"",""57745.28489890118"",""55888.66793731879"",""57564.14991775238"",""5907626719.571981"",""1086892085641.9493"",""459752551255.2708"",""41.177922293832545"""
"2021-11-23,""57566.31613345491"",""57895.88849060285"",""55331.8658946167"",""56292.98087223049"",""7562483817.224302"",""1062842440007.1913"",""459462821175.2799"",""41.167045628535845"""
"2021-11-22,""56287.30190661673"",""59516.852273598255"",""55648.891435892154"",""58750.75539209568"",""8122172488.109948"",""1109195167807.264"",""459050801590.4026"",""41.774938223644284"""
"2021-11-21,""58687.185677168825"",""60092.11457975298"",""58545.73003590382"",""59750.20586228581"",""4168312591.0539093"",""1128015173943.2144"",""459614872445.9492"",""41.83238473710693"""
"2021-11-20,""59763.42238615593"",""59904.49146863124"",""57436.90492141095"",""58126.15320115263"",""3118432023.255821"",""1097301858183.7076"",""459465255595.1795"",""41.70341771384901"""
"2021-11-19,""58113.417541449664"",""58475.70201621451"",""55628.14839203341"",""56959.75877234758"",""7387840649.743253"",""1075233638327.5132"",""458961028179.92316"",""42.74855178214948"""
"2021-11-18,""56922.44043653159"",""60988.246979999676"",""56513.27818764263"",""60377.77043715735"",""10218341749.122496"",""1139703594859.1147"",""458625952521.5541"",""42.50215114639783"""
"2021-11-17,""60374.03497360173"",""60852.985326791226"",""58396.58238910685"",""60122.20018538754"",""7841105209.604584"",""1134822280515.6384"",""459585270084.7298"",""42.71108998592169"""
"2021-11-16,""60101.086545380604"",""63635.18853039619"",""58635.24700140941"",""63566.45649550812"",""12983917116.377813"",""1199773132630.647"",""458894339132.5732"",""42.72610988788681"""
"2021-11-15,""63613.27713454951"",""66392.49843241117"",""63387.99154004288"",""65486.26599010645"",""6370089523.098399"",""1235945611141.9714"",""458212578452.0314"",""43.07629411519402"""
"2021-11-14,""65529.21554642032"",""65548.25311552826"",""63602.39751340296"",""64403.492482192014"",""4425902837.860523"",""1215448857941.8755"",""457141858055.8403"",""42.65124863037592"""
"2021-11-13,""64408.395925960045"",""65008.18065080838"",""63380.073589661544"",""64210.80660651662"",""4118344172.592705"",""1211750576858.9019"",""456712905708.04785"",""42.8101873512167"""
"2021-11-12,""64148.801061873775"",""65476.74269457229"",""62290.53166752846"",""64871.913631239564"",""7811470169.185952"",""1224170311571.8286"",""456281202500.8405"",""42.723885684868804"""
"2021-11-11,""64815.87967883819"",""65630.08082872798"",""64125.13321953479"",""64996.84535607618"",""5846033255.254421"",""1226462003250.8916"",""450155463110.7655"",""43.31248340632604"""
"2021-11-10,""64916.88837726965"",""69006.39487363906"",""62835.07585277167"",""66942.30498534803"",""11532379032.061102"",""1263110052711.8223"",""449058378754.6159"",""43.3104999859004"""
"2021-11-09,""66952.03855670716"",""68551.25845176172"",""66232.56100555441"",""67562.34940513135"",""7105142234.988298"",""1274746950619.3896"",""448084558267.2427"",""43.3586937618165"""
"2021-11-08,""67553.510527717"",""67804.2381900162"",""63300.511621679085"",""63335.587420062206"",""8805560135.46497"",""1194941000777.403"",""446411909311.82745"",""42.58406419261919"""
"2021-11-07,""63319.18439686647"",""63342.721126076314"",""61352.95311549067"",""61499.70875575299"",""3859706195.6937375"",""1160245387424.4802"",""443436349253.0704"",""42.174393635319305"""
"2021-11-06,""61528.835301861756"",""61600.546045710755"",""60102.70553893855"",""61038.386277607286"",""2792821977.971538"",""1151481893559.0945"",""442942235179.9193"",""42.36836250228937"""
"2021-11-05,""61016.50554379181"",""62635.308485589085"",""60778.11216358786"",""61443.05835868411"",""2599436489.104441"",""1159516894458.671"",""442338811302.9709"",""42.63257250125427"""
"2021-11-04,""61456.704150052756"",""63126.17180203479"",""60713.376140667795"",""62936.75095505137"",""3483812544.952841"",""1187643999692.7659"",""441285350878.1094"",""42.96895735242908"""
"2021-11-03,""62927.542965413624"",""63561.90687124483"",""60530.19337663267"",""63258.522393649204"",""6718036236.262448"",""1193659427280.0273"",""441025794038.05396"",""43.425457435195405"""
"2021-11-02,""63269.55170974233"",""64322.995113658726"",""60668.9209947517"",""60961.61779186686"",""7496334942.966706"",""1150256542515.1042"",""439366156178.83936"",""43.450480569893294"""
"2021-11-01,""60954.44422250737"",""62495.14552011344"",""59443.92493616444"",""61355.95441768421"",""7932153134.235366"",""1157636506667.2751"",""436574028968.63666"",""43.87742464413944"""
